snapshot_date,skill_name,demand_count,demand_pct,median_days_open,salary_premium_pct,repost_rate_pct,scarcity_score,year,day,month
2026-07-12,Dagster,15,0.2,,-38.6,12.5,60.4,2026,12,July
2026-07-12,Data Modeling,101,1.3,2.0,41.9,1.3,51.5,2026,12,July
2026-07-12,Data Pipeline,70,0.9,46.0,8.5,1.8,63.7,2026,12,July
2026-07-12,Databricks,197,2.5,61.0,-5.2,0.5,64.2,2026,12,July
2026-07-12,Datadog,117,1.5,54.0,56.0,0.3,71.2,2026,12,July
2026-07-12,dbt,97,1.2,1.0,31.1,5.0,45.2,2026,12,July
2026-07-12,Deep Learning,36,0.5,0.0,83.1,7.4,49.8,2026,12,July
2026-07-12,Django,55,0.7,0.0,-41.3,5.6,21.3,2026,12,July
2026-07-12,Docker,605,7.8,2.0,-48.2,14.6,41.6,2026,12,July
2026-07-12,DynamoDB,223,2.9,24.0,7.1,3.6,63.5,2026,12,July
2026-07-12,Elasticsearch,117,1.5,54.0,65.2,4.1,79.2,2026,12,July
2026-07-12,ETL,117,1.5,9.0,-20.2,6.8,58.2,2026,12,July
2026-07-12,Excel,179,2.3,9.0,-71.1,5.5,36.0,2026,12,July
2026-07-12,FastAPI,62,0.8,0.0,-42.9,6.7,22.4,2026,12,July
2026-07-12,Figma,171,2.2,9.0,-47.6,4.2,37.1,2026,12,July
2026-07-12,Fine-tuning,48,0.6,2.0,53.6,4.5,58.2,2026,12,July
2026-07-12,Fivetran,74,1.0,54.0,,1.8,64.9,2026,12,July
2026-07-12,Flask,46,0.6,1.0,-40.6,20.0,42.5,2026,12,July
2026-07-12,Flink,48,0.6,40.0,-38.6,7.0,62.2,2026,12,July
2026-07-12,GCP,638,8.2,3.0,-40.1,10.7,52.2,2026,12,July
2026-07-12,Git,678,8.7,1.0,-20.2,14.1,48.3,2026,12,July
2026-07-12,Go,267,3.4,15.0,-45.7,5.3,44.0,2026,12,July
2026-07-12,Grafana,318,4.1,2.0,24.0,0.2,45.2,2026,12,July
2026-07-12,GraphQL,151,1.9,8.0,4.9,1.3,50.8,2026,12,July
2026-07-12,Helm,21,0.3,0.0,,7.4,24.8,2026,12,July
2026-07-12,Hugging Face,10,0.1,1.0,85.4,0.0,40.9,2026,12,July
2026-07-12,Incident Response,181,2.3,51.0,61.8,5.9,81.0,2026,12,July
2026-07-12,Java,1698,21.9,1.0,-26.6,10.7,44.3,2026,12,July
2026-07-12,JavaScript,1078,13.9,1.0,-40.8,10.8,36.6,2026,12,July
2026-07-12,Jira,51,0.7,2.0,-0.7,1.7,45.1,2026,12,July
2026-07-12,Kafka,294,3.8,8.0,10.9,8.6,65.2,2026,12,July
2026-07-12,Kotlin,552,7.1,17.0,18.4,3.3,62.3,2026,12,July
2026-07-12,Kubernetes,728,9.4,6.0,-45.7,7.9,42.7,2026,12,July
2026-07-12,LangChain,11,0.1,2.0,,1.5,34.8,2026,12,July
2026-07-12,Linux,170,2.2,1.0,-45.3,6.4,28.1,2026,12,July
2026-07-12,LLM APIs,17,0.2,,-56.9,0.0,0.7,2026,12,July
2026-07-12,LLMs / GenAI,1061,13.7,2.0,35.6,6.1,57.9,2026,12,July
2026-07-12,Looker,10,0.1,1.0,,0.0,10.4,2026,12,July
2026-07-12,Machine Learning,573,7.4,0.0,-9.3,5.9,33.4,2026,12,July
2026-07-12,MCP,68,0.9,,,0.0,0.0,2026,12,July
2026-07-12,Microservices,84,1.1,1.0,-46.8,10.9,31.2,2026,12,July
2026-07-12,MLflow,154,2.0,61.0,,0.0,60.2,2026,12,July
2026-07-12,MongoDB,224,2.9,40.0,-48.3,3.8,44.0,2026,12,July
2026-07-12,MySQL,284,3.7,1.0,-47.6,9.0,27.7,2026,12,July
2026-07-12,NetSuite,10,0.1,,,0.0,0.0,2026,12,July
2026-07-12,Next.js,212,2.7,1.0,-51.0,8.1,25.1,2026,12,July
2026-07-12,NLP,24,0.3,0.0,24.7,1.9,32.9,2026,12,July
2026-07-12,Node.js,512,6.6,6.0,-25.9,7.0,54.9,2026,12,July
2026-07-12,PHP,111,1.4,1.0,-51.3,18.6,31.6,2026,12,July
2026-07-12,PostgreSQL,546,7.0,11.0,-38.6,6.3,55.4,2026,12,July
2026-07-12,Prometheus,61,0.8,54.0,-45.7,0.6,44.5,2026,12,July
2026-07-12,Prompt Engineering,61,0.8,,,1.6,24.8,2026,12,July
2026-07-12,Prototyping,157,2.0,9.0,27.1,4.7,61.6,2026,12,July
2026-07-12,Python,1515,19.5,1.0,-32.6,9.4,42.6,2026,12,July
2026-07-12,PyTorch,26,0.3,9.0,85.4,13.3,80.2,2026,12,July
2026-07-12,RAG,454,5.8,16.0,41.1,1.8,63.5,2026,12,July
2026-07-12,React,1345,17.3,1.0,-42.3,8.3,31.9,2026,12,July
2026-07-12,Redis,132,1.7,6.0,-39.6,4.5,45.8,2026,12,July
2026-07-12,Redshift,11,0.1,23.0,,0.0,45.7,2026,12,July
2026-07-12,REST API,311,4.0,0.0,-40.8,15.2,32.5,2026,12,July
2026-07-12,Ruby,280,3.6,23.0,7.2,1.9,60.5,2026,12,July
2026-07-12,Rust,290,3.7,54.0,-40.1,9.9,66.7,2026,12,July
2026-07-12,SageMaker,13,0.2,14.0,,0.0,41.5,2026,12,July
2026-07-12,Salesforce,20,0.3,,,0.0,0.0,2026,12,July
2026-07-12,Scala,174,2.2,54.0,-46.7,3.4,49.2,2026,12,July
2026-07-12,Segment,23,0.3,0.0,52.3,0.9,34.9,2026,12,July
2026-07-12,SIEM,39,0.5,0.0,,3.1,12.6,2026,12,July
2026-07-12,Snowflake,118,1.5,34.0,34.8,6.2,73.0,2026,12,July
2026-07-12,Spark,368,4.7,54.0,-38.6,3.1,57.9,2026,12,July
2026-07-12,Spring,268,3.5,0.0,-43.8,21.9,31.7,2026,12,July
2026-07-12,SQL,1154,14.9,1.0,-41.2,8.4,33.6,2026,12,July
2026-07-12,Stakeholder Mgmt,1114,14.3,3.0,-12.2,6.2,54.0,2026,12,July
2026-07-12,Statistical Analysis,31,0.4,50.0,,0.0,52.6,2026,12,July
2026-07-12,Swift,81,1.0,2.0,46.4,4.0,56.6,2026,12,July
2026-07-12,System Design,312,4.0,9.0,24.7,5.5,61.4,2026,12,July
2026-07-12,TensorFlow,17,0.2,0.0,85.4,22.7,59.1,2026,12,July
2026-07-12,Terraform,312,4.0,1.0,-36.3,12.3,45.1,2026,12,July
2026-07-12,Trino,29,0.4,,,0.0,0.0,2026,12,July
2026-07-12,TypeScript,1069,13.8,1.0,-40.1,11.3,39.9,2026,12,July
